elevation,aspect,slope,hd_to_hydrology,vd_to_hydrology,hd_to_roadways,hillshade_9am,hillshade_noon,hillshade_3pm,hd_to_firepoint,wilderness,soil,target
1921,5,18,127,43,108,195,203,142,684,3,0,5
2366,36,37,60,43,430,191,136,53,661,3,9,5
3293,331,18,638,221,3226,174,215,179,3462,2,39,1
3172,64,8,330,-1,4924,228,224,129,2168,0,18,0
2471,294,17,256,57,180,168,233,204,679,3,9,2
2988,0,0,153,16,5019,218,238,156,4715,0,28,0
3272,356,7,247,58,1390,209,228,157,474,0,37,0
2577,28,12,268,30,424,215,213,133,875,2,10,1
3412,69,14,395,63,3226,234,212,107,1436,2,38,6
2531,22,18,120,21,1324,206,198,125,1397,2,9,5
2925,18,10,247,30,778,212,219,143,1648,2,31,1
2499,199,22,182,78,1061,206,253,171,1362,2,2,2
3308,139,10,210,-13,1910,236,237,131,3188,0,37,6
3204,15,28,30,16,1289,182,169,112,2640,0,29,0
2280,152,31,417,144,1273,240,223,88,741,3,2,3
3226,61,15,560,-24,658,231,207,104,2583,0,21,0
2663,347,21,85,27,2024,175,202,161,2382,2,9,5
2311,167,18,361,130,1195,232,244,135,1168,3,5,3
2370,78,22,170,53,323,242,194,72,646,3,3,2
2260,126,4,0,0,295,227,237,145,366,3,9,3
2803,65,16,60,14,2100,233,205,98,2089,2,22,4
2855,118,15,30,7,1396,244,226,107,2428,2,30,0
2114,336,31,342,50,390,136,181,174,967,3,4,5
2037,335,31,170,116,192,136,183,177,450,3,9,2
2730,211,29,95,48,1261,183,252,188,1630,2,3,4
2283,102,16,30,7,1110,245,217,96,1179,3,3,5
2560,191,14,134,13,2202,218,250,162,2012,2,1,4
2579,24,5,95,-7,890,217,230,149,1959,0,29,1
2270,11,33,339,195,812,168,156,109,301,3,9,2
2165,78,11,0,0,684,234,220,116,1425,3,0,3
2517,246,16,424,59,840,185,251,202,1495,2,10,2
2090,92,28,30,12,1190,250,184,0,474,3,16,3
2218,71,18,301,90,600,237,202,89,95,3,1,5
2781,39,3,60,11,1871,220,232,149,2739,0,28,4
2077,344,27,330,228,301,156,188,164,875,3,4,5
3065,145,6,361,2,319,228,239,144,1492,2,22,1
3235,144,15,42,13,1148,240,236,121,2970,1,22,1
3407,72,10,153,-1,3944,231,221,122,2866,2,38,6
2119,81,37,90,68,418,240,149,4,247,3,2,3
2242,105,13,0,0,850,242,223,109,451,3,13,3
2111,238,3,0,0,1148,214,242,166,1333,3,16,3
2799,76,24,283,126,1144,241,187,63,497,2,32,5
2309,100,5,0,0,924,229,233,138,977,3,9,3
2794,105,15,67,-7,618,244,220,100,242,0,29,4
2010,303,30,300,161,270,125,210,218,866,3,4,5
2650,50,15,0,0,1383,226,207,111,636,0,29,4
2111,211,14,0,0,616,208,252,178,499,3,3,3
2765,74,7,295,42,2642,229,227,132,6737,0,11,0
2667,6,27,210,71,1661,175,176,129,2700,2,9,5
2943,166,2,560,91,3293,221,239,155,3667,0,11,1
2741,313,24,150,15,1699,150,215,202,1546,2,12,5
2670,63,17,150,37,1471,233,204,98,1383,2,10,2
3153,328,13,319,116,2256,187,224,176,1100,2,31,0
2264,310,11,0,0,1120,189,232,183,365,3,0,3
2785,349,14,60,7,994,193,216,160,2079,2,9,0
2104,116,13,0,0,1065,242,227,111,626,3,2,3
2729,127,17,362,95,2510,246,226,102,2186,2,9,4
2991,221,15,524,91,5669,200,253,186,4112,0,28,1
3351,95,9,702,156,569,234,227,124,384,1,37,6
2791,101,11,0,0,648,238,226,117,1421,2,12,4
3356,17,13,484,117,3180,209,213,139,2373,2,31,6
3390,52,6,853,27,698,223,227,140,218,1,37,6
2640,345,11,108,23,2040,197,222,163,2271,2,9,5
1956,89,23,127,51,134,247,197,67,696,3,2,2
2181,143,29,60,23,1425,246,219,80,787,3,2,3
2838,95,26,402,177,417,250,193,54,1834,0,29,4
3347,287,17,859,220,3941,171,237,205,2347,2,30,1
2471,85,9,60,1,1536,233,225,124,641,2,3,2
2741,50,13,285,10,1592,225,212,119,402,2,30,1
2443,344,16,201,39,426,186,213,165,1180,3,9,5
2337,66,19,424,156,1140,235,199,88,1248,3,5,3
2274,75,30,323,202,595,239,168,37,255,3,2,3
2327,356,27,67,29,1142,167,181,145,997,3,9,5
2779,197,16,190,44,1898,214,252,167,973,2,32,4
3283,359,23,759,187,1243,179,190,143,1749,2,38,6
2589,25,5,180,-7,330,218,229,148,6172,0,28,4
2268,14,9,30,0,1413,212,222,147,534,3,16,3
3023,243,34,335,241,2590,134,243,231,1637,2,12,0
2451,315,25,95,29,760,147,211,200,1415,2,9,1
2641,0,0,0,0,1405,218,238,156,1095,2,22,1
2510,81,35,120,50,1409,242,157,16,953,2,2,2
2083,61,21,95,15,153,232,192,83,598,3,9,2
2467,146,26,228,88,256,245,226,94,977,2,3,2
2819,70,20,124,54,1581,237,197,82,1465,2,32,4
2654,122,23,42,16,1380,252,214,77,658,0,29,4
2147,207,4,0,0,1181,217,244,163,953,3,16,3
2654,250,15,30,6,1456,185,249,201,1290,2,19,5
2844,203,28,120,47,1260,193,251,176,2809,2,3,4
2818,237,11,268,91,1657,200,250,187,2250,2,12,4
2359,303,23,85,34,1060,151,223,209,1507,3,9,5
3260,25,5,589,69,3602,218,229,148,2524,0,37,0
3788,356,13,1003,342,4941,198,216,155,3045,2,39,6
2950,186,17,30,8,1606,220,250,157,2233,2,32,0
2995,29,6,124,16,3861,218,226,144,792,0,28,0
2549,47,9,362,46,990,224,220,130,1416,2,10,1
3036,316,13,339,56,537,184,228,183,495,1,21,0
2066,101,22,0,0,390,250,205,72,661,3,0,3
3002,75,7,216,10,3062,228,228,133,1855,0,28,1
2666,58,14,30,-6,1068,229,211,112,2018,0,28,4
2270,45,8,0,0,255,223,223,135,379,3,9,3
2245,127,18,85,24,558,247,225,99,1742,3,2,3
3165,153,11,175,33,3088,233,241,138,3442,0,38,0
3336,207,2,541,41,957,218,241,160,1396,2,31,6
2676,129,24,67,22,1440,251,217,79,713,0,29,4
2568,350,21,67,37,1471,177,199,157,564,2,9,2
3403,304,13,108,30,2493,185,233,188,2601,2,37,6
2763,355,8,30,4,824,207,226,157,2208,2,16,4
3429,45,17,366,80,3087,222,200,106,1348,2,36,6
2283,43,9,283,60,722,222,220,133,485,3,1,2
2732,186,9,350,144,2723,222,247,158,1203,2,1,2
2387,35,20,258,117,811,213,192,107,930,3,5,5
2062,141,20,30,7,849,245,230,105,268,3,0,3
3196,166,12,67,7,3254,230,244,144,1260,2,31,1
2269,125,28,67,28,408,253,208,62,1879,3,2,3
2946,13,20,391,74,3424,196,195,131,2397,2,31,0
2360,357,12,201,55,1312,200,217,154,384,3,5,5
3002,125,6,67,4,2836,230,236,139,1958,2,22,0
2461,139,9,324,120,934,234,237,134,1022,3,5,2
3409,83,24,90,-21,1765,245,189,60,1895,1,38,6
3384,88,15,524,227,1448,241,214,99,914,2,38,6
2116,233,28,162,108,350,163,251,214,242,3,0,2
2997,126,16,876,202,2790,245,227,105,1130,2,33,1
2196,329,10,30,0,853,196,228,172,1445,3,3,3
2561,225,20,175,86,1550,189,254,196,1276,2,2,2
2083,39,21,134,68,212,216,189,100,384,3,9,2
3366,130,7,277,50,3693,232,236,136,2048,2,37,6
2551,131,9,541,48,972,235,235,132,1276,2,1,2
3352,291,14,470,113,3274,181,237,196,3362,2,31,6
2786,73,32,210,31,295,237,161,30,2059,0,29,4
2273,135,6,0,0,390,230,237,140,1570,3,3,3
2834,230,15,42,9,2297,196,252,191,2026,2,12,1
3289,110,11,0,0,2268,239,228,118,285,2,34,6
3394,202,8,794,188,1426,217,247,165,1771,2,37,6
2999,180,13,240,20,1770,224,248,153,1405,0,22,0
3241,10,12,376,20,3578,207,216,145,3891,0,22,0
3292,19,11,67,0,2147,212,216,140,2836,0,38,6
3068,72,8,636,209,1924,230,224,127,2928,2,30,0
3442,54,17,570,93,2687,228,202,102,1284,2,37,6
3399,351,11,693,60,1384,199,221,159,1550,2,37,6
2684,34,28,127,38,2608,203,167,83,1022,2,9,1
2382,334,13,499,210,1523,190,222,171,706,3,5,2
3178,22,13,600,103,1651,212,213,136,2631,2,31,0
2373,273,30,120,36,247,127,232,236,240,2,9,5
2731,33,26,350,161,2071,204,173,91,2160,2,23,1
3179,44,22,212,45,841,219,188,93,5177,1,21,0
2044,133,8,30,0,858,233,236,135,573,3,16,3
3442,50,24,85,5,3369,223,182,80,2613,0,36,6
2574,221,31,324,-25,630,167,251,203,1271,2,3,2
2274,142,23,201,111,1383,246,227,96,924,3,2,3
2664,94,8,467,-42,666,232,229,129,95,2,9,5
2190,147,28,60,32,1441,244,224,88,807,3,2,3
2409,178,31,120,51,524,216,240,133,1150,3,3,2
2457,53,22,30,13,1130,226,186,83,797,2,9,5
2818,113,20,170,54,1978,249,216,86,1040,2,12,4
2132,266,31,192,96,616,127,235,238,524,3,9,2
2769,314,14,42,0,2143,181,228,187,745,2,30,4
2649,154,18,684,0,666,238,238,123,1290,2,3,2
2917,137,36,256,172,2100,247,202,50,648,2,12,4
2249,70,8,30,2,1248,229,225,129,655,3,1,5
2321,65,18,240,62,1154,234,201,93,693,3,9,5
2863,349,15,201,68,1565,192,214,160,1914,2,30,5
2327,317,8,0,0,1290,198,233,174,182,3,5,3
2613,127,5,162,9,1566,229,237,142,967,2,1,2
2749,33,13,134,10,1422,217,211,127,2498,0,28,1
2138,355,22,90,19,492,177,194,150,301,3,9,5
3218,110,14,90,6,4173,243,224,107,1837,0,22,0
2701,73,8,150,14,240,230,225,128,979,2,10,4
2814,55,32,330,149,351,220,155,44,1841,0,28,4
3371,81,19,180,22,3072,242,204,85,1616,2,37,6
2254,342,16,85,20,1501,185,214,167,671,3,5,5
2990,115,27,466,163,1165,254,202,56,571,0,29,0
2440,297,21,300,134,1128,155,228,211,1332,3,5,5
2002,252,3,240,80,330,213,241,166,860,3,0,5
2297,167,15,234,114,1218,231,244,140,1099,3,2,3
2081,7,9,0,0,1438,209,222,150,782,3,16,3
3136,242,9,192,24,1634,202,248,183,2407,2,31,0
2694,251,13,124,0,1387,191,249,195,1150,2,32,4
3219,36,13,190,28,3472,219,211,125,3499,0,22,6
2568,21,20,210,78,1622,203,194,122,1048,2,9,5
3216,270,3,467,26,5917,211,240,168,1934,0,21,1
2720,36,17,30,0,1308,217,201,114,2255,0,22,4
2368,56,10,108,9,1254,227,218,124,638,3,5,2
3159,21,21,541,79,1490,202,192,120,2202,2,23,0
2675,64,7,0,0,1358,227,226,133,698,2,32,4
3158,302,12,180,63,4685,186,234,188,1180,0,21,0
2582,6,15,90,0,1448,201,210,145,2704,2,10,1
3018,302,9,255,40,474,194,236,181,400,1,21,0
3276,297,13,552,91,700,183,235,192,240,1,23,0
2747,283,8,0,0,2015,199,241,181,787,2,30,4
2295,308,17,153,62,1440,171,227,195,658,3,1,5
2261,205,22,192,81,1129,201,254,178,1176,3,2,3
2264,54,15,60,13,124,228,207,110,939,3,9,5
3073,158,13,268,62,800,234,242,136,1302,2,22,1
2593,50,13,379,69,870,225,212,119,400,0,21,1
2472,308,14,365,38,760,180,230,190,1224,3,5,5
3330,96,20,247,8,2015,248,207,79,3292,0,37,6
3361,155,7,42,-2,2872,228,241,146,626,2,37,6
2008,104,32,218,96,228,253,181,29,661,3,2,2
3378,186,9,283,-18,2516,222,247,159,450,2,37,6
3100,80,13,450,31,3602,237,215,107,4712,0,28,1
2694,98,12,0,0,1448,239,223,113,1387,2,3,4
3064,201,21,0,0,2405,207,253,173,967,2,22,1
2882,217,28,210,75,1746,179,253,196,979,2,12,1
2840,69,19,270,57,1888,236,200,88,1965,2,32,4
2030,331,26,30,22,366,151,198,182,446,3,9,5
2752,164,22,182,46,510,234,241,126,626,0,29,4
2344,311,32,67,30,671,118,199,212,702,3,9,5
2859,68,25,285,134,1931,236,181,61,577,2,32,4
2461,138,22,85,29,942,247,226,95,1324,2,3,2
3387,33,19,633,193,3378,213,196,112,1790,2,38,6
2629,342,13,467,73,644,193,221,166,934,2,10,2
2142,360,27,67,19,1020,170,180,139,1477,3,9,2
2882,333,10,30,3,1728,198,228,169,1481,2,22,4
2974,55,11,192,-1,3553,227,215,120,2239,0,22,0
2558,357,21,90,49,1495,182,197,148,524,2,9,2
2280,128,16,497,122,1403,244,229,109,911,3,1,3
2781,166,20,323,144,1464,232,242,132,1142,2,12,1
3421,316,31,210,96,3797,124,197,204,3676,0,38,6
2766,83,10,335,56,1600,234,223,120,2989,0,11,1
2919,78,22,134,42,5012,242,194,72,212,0,29,1
2774,63,14,268,133,277,232,210,107,859,0,29,4
3409,210,8,190,16,2903,214,248,169,417,2,39,6
2721,65,10,210,53,240,230,220,123,2188,0,28,4
3294,38,8,170,5,3981,220,222,137,3922,0,37,6
3180,265,8,90,13,1110,200,244,182,150,2,22,0
3283,85,31,180,49,2329,246,171,0,595,2,38,6
3411,148,28,247,92,2256,243,224,89,837,2,39,6
2643,254,4,430,115,834,210,242,170,983,2,1,2
2360,102,38,234,132,1652,251,163,4,283,3,2,2
3341,273,14,153,19,3753,182,243,200,1855,2,37,0
2288,103,25,120,47,268,252,199,60,1736,3,2,3
2254,300,16,362,173,1275,173,232,199,1138,3,9,2
2892,300,31,361,-15,2789,119,210,223,283,2,32,0
2882,354,6,0,0,3864,209,229,158,3846,0,22,1
2700,90,17,30,9,1679,243,211,92,3384,0,11,1
3187,318,17,270,48,2389,174,223,188,319,2,32,0
2055,327,19,30,14,532,169,215,183,684,3,13,5
3384,45,5,499,56,1590,222,228,142,2287,2,31,0
3039,31,1,631,19,4367,218,235,154,1503,0,28,1
2155,96,6,0,0,1523,231,231,133,218,3,2,3
2502,26,23,190,-71,931,202,183,108,1168,2,9,5
3412,340,19,67,21,1786,175,208,169,1991,1,38,6
2669,18,4,0,0,488,217,231,152,488,0,22,1
3065,27,10,30,-5,1414,216,219,138,785,0,22,0
3146,23,7,376,30,1869,216,225,145,2731,2,30,0
2630,269,14,247,61,1292,183,244,200,1326,2,10,1
3048,344,18,153,5,240,182,210,165,433,1,21,0
2784,323,28,234,35,1782,139,199,193,1513,2,12,5
2338,128,3,30,2,470,224,237,149,1422,3,0,5
3218,84,7,474,46,4458,230,228,131,2604,0,28,0
3455,343,6,730,116,1651,207,230,162,1437,2,39,6
2771,108,1,30,-7,210,220,237,154,1307,0,29,1
2920,261,6,543,7,3583,206,243,176,3989,0,11,1
2698,67,5,175,-4,1973,226,229,138,2630,2,1,5
3409,88,14,882,-83,845,240,217,105,255,1,37,6
2784,88,12,180,-2,510,238,220,112,295,0,29,4
2137,18,6,0,0,1369,216,227,149,716,3,3,3
2135,53,15,0,0,920,227,207,109,1477,3,16,3
3237,239,1,450,58,4566,216,240,161,2804,0,21,0
2668,79,8,201,12,1800,231,225,126,1782,2,10,2
2865,333,43,323,131,2694,88,147,175,330,2,32,0
3380,89,29,573,151,603,248,180,39,484,1,39,6
2607,16,16,0,0,1307,204,204,133,1868,2,12,5
2137,113,29,95,59,731,254,195,47,67,3,2,3
3378,108,3,180,29,2623,225,236,146,2421,0,38,6
3358,205,15,532,201,2438,210,252,174,914,2,31,0
3257,18,13,1090,240,2218,209,212,138,2096,2,37,6
2565,62,17,0,0,1729,232,202,97,1276,2,19,5
2240,27,17,0,0,882,211,202,123,1150,3,9,3
3283,278,19,108,28,3904,166,240,212,1269,0,28,6
2356,196,21,0,0,424,210,252,168,1106,3,15,2
2850,284,12,150,26,2285,185,240,194,2536,0,28,1
2330,323,23,127,65,1172,156,210,190,684,3,9,5
2675,344,14,108,36,2001,190,217,165,2391,2,9,5
2351,348,16,408,226,930,188,212,161,1355,3,9,2
2697,197,8,67,5,1061,218,247,164,485,2,1,2
3204,108,13,192,21,3877,241,225,111,1890,2,31,1
2744,281,13,60,9,1729,183,241,197,1020,2,32,4
2163,14,22,0,0,1539,193,188,125,228,3,13,3
3309,196,4,30,-1,4432,219,243,160,3873,2,22,0
2183,69,3,0,0,1008,223,233,145,443,3,13,3
2551,4,10,234,74,939,207,220,151,1061,3,5,2
2294,102,23,297,113,1123,251,204,69,1215,3,2,3
2065,240,22,300,7,553,174,252,211,953,3,0,5
3188,204,18,450,153,3187,207,253,175,1036,2,32,0
2228,43,9,0,0,1356,222,220,132,577,3,13,3
2726,77,12,240,60,270,235,218,113,2214,0,28,4
3027,102,14,330,103,4400,242,221,105,2236,0,28,1
3348,254,9,0,0,2590,200,246,185,516,2,34,6
2872,265,20,430,127,1802,166,244,216,2101,2,12,4
3314,348,12,618,125,2718,197,220,161,2192,2,37,6
3267,327,19,450,116,2916,171,216,182,592,2,32,0
3317,108,18,42,8,3535,248,215,88,2989,2,38,6
2301,108,21,484,7,1350,250,211,79,912,3,1,3
2213,313,22,60,-29,1425,155,217,200,1015,3,9,2
3184,53,15,0,0,1703,227,207,109,400,2,34,6
3393,355,14,646,54,1390,197,215,155,1484,2,37,6
2630,173,23,85,26,1747,228,244,136,1436,2,2,1
3004,183,14,67,9,5639,223,249,155,2523,0,28,0
2899,103,22,691,266,2505,250,207,74,1839,2,9,2
2272,328,22,124,41,1182,161,208,183,752,3,9,5
3270,37,17,607,204,908,217,202,115,591,0,21,0
3295,359,16,524,71,2817,195,210,151,3382,2,31,6
2850,63,26,295,178,1237,232,179,63,780,2,12,4
3431,290,12,1064,246,4773,187,238,191,2980,2,39,6
3178,159,18,67,-22,2575,236,240,128,2796,0,28,6
2593,151,13,190,62,216,237,239,130,1604,0,29,1
3031,18,13,457,172,1608,209,212,138,3129,2,30,0
2955,290,14,67,14,1640,179,237,198,1388,0,28,1
3349,15,7,499,21,750,214,225,148,2162,2,30,6
2609,78,30,67,29,1570,242,171,36,1207,2,2,2
2358,151,25,240,117,212,242,231,103,1761,3,2,3
1975,249,28,90,53,210,148,246,227,807,3,0,5
2880,11,8,335,48,750,211,223,148,1434,2,10,4
2564,6,4,150,11,1546,214,231,154,1648,2,1,4
3382,304,15,283,100,2256,176,231,195,2679,0,38,0
2864,195,25,153,67,1230,207,251,165,2821,2,3,4
2231,190,26,258,106,1153,209,249,157,577,3,2,3
2899,274,7,242,35,1950,202,242,179,1110,2,31,1
3130,207,6,0,0,2462,216,246,166,433,2,22,0
3023,326,9,60,11,2324,199,231,171,1071,2,22,0
2699,66,15,90,24,108,233,210,105,1639,0,28,4
2673,135,8,240,89,1744,233,237,135,2643,2,3,2
3451,73,17,30,5,3268,238,204,91,2525,0,36,6
3432,254,4,1106,182,1333,210,242,170,1793,2,37,0
2733,8,23,127,32,1233,187,188,132,2186,0,28,4
2375,86,16,0,0,589,242,211,95,430,3,0,3
2358,119,15,170,35,170,245,225,105,671,2,3,2
3482,270,5,484,169,1195,206,242,174,1471,1,39,6
3251,294,18,30,15,3998,167,233,205,1253,0,37,6
2348,103,24,300,151,830,252,201,64,1507,3,2,3
2809,23,12,60,14,3302,212,214,136,890,2,23,1
2280,108,13,0,0,595,242,224,109,780,3,3,3
3404,292,8,437,65,1575,197,239,182,977,2,37,6
3287,83,19,67,4,2306,243,203,81,2771,0,38,6
2955,315,8,90,10,4719,200,234,174,5939,0,11,1
2860,3,19,484,68,4207,191,201,144,5552,0,15,0
3251,60,16,309,-22,1719,231,205,102,1149,2,38,6
3404,208,31,691,-62,3742,182,250,185,2291,0,38,0
2486,324,7,180,43,301,203,233,169,1825,3,5,2
2760,115,13,256,28,1503,242,227,113,2430,0,11,1
2023,83,29,30,15,361,245,176,0,457,3,9,3
2732,185,20,95,25,708,219,250,155,2120,2,3,1
2157,295,41,108,73,270,80,193,236,618,3,9,2
