,elevation,aspect,slope,hd_to_hydrology,vd_to_hydrology,hd_to_roadways,hillshade_9am,hillshade_noon,hillshade_3pm,hd_to_firepoint,wilderness,soil,target
196,3017,46,22,212,52,5118,221,188,92,2352,0,28,0
197,3077,256,4,618,210,6230,210,242,170,3734,0,28,1
198,2929,338,8,190,39,4393,202,228,165,6106,0,11,1
199,2735,127,12,67,6,2806,240,232,120,4924,0,11,1
200,2893,319,20,150,43,5825,164,217,192,4667,0,23,1
201,3231,45,4,648,59,4173,221,231,147,1921,0,28,0
202,2560,89,10,218,34,731,235,224,120,3505,0,28,1
203,3162,43,15,484,144,4657,221,205,115,2188,0,28,0
204,2982,188,14,120,-2,5501,220,250,160,2750,0,28,0
205,2731,66,5,0,0,2826,225,230,141,4873,0,19,1
206,3172,50,11,759,0,4287,225,215,123,2037,0,19,0
207,2916,138,21,127,49,6349,247,227,98,4206,0,28,1
208,2890,63,17,153,35,3670,233,202,96,5757,0,29,1
209,2704,45,10,323,22,1323,223,219,130,3734,0,11,1
210,3198,23,18,604,180,4545,207,200,124,2285,0,28,0
211,2985,214,5,342,63,5495,215,245,166,3195,0,28,1
212,3011,323,21,443,161,5838,164,214,188,4910,0,23,1
213,3024,312,18,474,177,5785,169,224,194,4961,0,23,1
214,2763,7,12,85,17,2850,205,216,148,4788,0,23,1
215,3244,56,16,618,76,3865,229,204,104,2225,0,39,0
216,2955,9,10,85,10,5167,209,221,149,2819,0,15,0
217,3201,10,13,984,180,4136,205,213,143,2289,0,22,0
218,2972,36,25,30,0,5113,209,176,90,2816,0,28,0
219,2985,167,13,458,66,5571,230,244,144,3519,0,28,1
220,2539,23,17,90,15,488,207,201,125,3115,0,28,1
221,3001,260,8,720,134,5790,200,245,183,3903,0,28,1
222,2952,51,10,150,16,5123,225,218,126,2960,0,15,0
223,2962,211,13,255,43,5365,209,252,177,3337,0,28,1
224,3004,0,12,484,85,5068,202,217,152,5840,0,11,0
225,2727,45,4,124,21,2285,221,231,147,4245,0,11,1
226,3004,167,17,603,137,5798,232,244,137,4031,0,28,1
227,2886,22,8,285,31,3849,215,222,144,5557,0,28,1
228,3024,344,8,600,105,5201,203,227,163,5764,0,11,0
229,3034,187,14,335,148,6084,221,249,158,4921,0,29,1
230,2903,279,13,190,26,4179,184,241,197,5904,0,28,1
231,2926,245,4,30,7,5180,212,243,169,3331,0,22,0
232,2942,200,16,180,23,5276,212,252,170,3470,0,28,1
233,2991,54,13,495,65,4849,227,211,115,6214,0,11,1
234,2742,116,9,150,21,2475,236,231,126,4314,0,11,1
235,2606,356,18,67,26,911,188,205,152,3174,0,28,1
236,3244,326,5,750,53,3730,207,234,166,2460,0,22,0
237,3237,27,14,997,36,4002,213,210,130,2506,0,22,0
238,2616,359,24,42,15,977,176,187,142,3186,0,28,1
239,2913,16,11,457,58,3974,211,217,142,5568,0,28,1
240,2813,48,7,201,35,3018,223,225,137,4729,0,23,1
241,2530,149,1,319,51,234,221,238,154,2726,0,28,1
242,3260,45,7,503,69,3558,222,225,138,2531,0,39,0
243,3047,90,3,870,128,5484,224,234,146,5635,0,11,1
244,2955,60,20,201,33,4934,231,195,88,3248,0,28,0
245,2893,77,13,85,7,6012,236,215,107,4682,0,28,1
246,2965,38,24,247,49,4883,212,181,92,3315,0,28,0
247,3037,230,15,570,151,5985,196,252,191,5238,0,28,1
248,3027,152,10,792,108,5316,233,240,138,5912,0,11,1
249,2756,70,16,120,35,2501,235,208,100,4210,0,11,1
250,2939,325,6,510,62,4078,206,234,167,5584,0,19,1
251,3198,126,9,418,23,4200,235,234,130,2858,0,18,0
252,3195,90,7,362,20,4243,231,229,132,2880,0,22,0
253,2975,222,6,360,89,5719,213,245,169,4519,0,28,1
254,2890,84,13,30,4,5918,238,218,108,4761,0,29,1
255,3018,109,10,815,132,5833,238,229,121,5486,0,28,1
256,3011,85,5,842,85,5389,228,231,137,5975,0,11,1
257,3221,79,16,618,20,3968,239,210,96,2868,0,22,0
258,3004,135,7,811,78,5383,231,237,138,6017,0,28,1
259,2572,49,20,384,53,391,224,192,94,2509,0,28,1
260,3260,128,11,743,46,3824,238,233,124,2854,0,22,0
261,3168,25,4,30,0,4426,218,231,150,3180,0,19,0
262,2878,349,12,67,0,3489,198,220,161,4924,0,28,1
263,3198,9,8,301,23,4099,211,224,150,3076,0,18,0
264,2975,260,8,391,66,6071,200,245,183,5262,0,28,1
265,3178,38,10,0,0,4286,220,217,131,3248,0,28,0
266,2995,176,10,690,86,6068,226,246,152,5533,0,28,1
267,2913,144,8,210,20,5478,232,239,139,4733,0,29,1
268,2982,175,9,424,56,5267,225,245,153,6500,0,11,0
269,2945,209,12,362,36,5877,211,251,173,5354,0,28,1
270,2995,143,2,631,23,5459,223,238,151,6349,0,28,0
271,2942,0,3,0,0,4830,215,233,156,6062,0,19,1
272,2945,288,5,0,0,4801,205,239,173,6034,0,19,1
273,2959,288,8,120,14,4683,199,240,180,5920,0,11,1
274,2796,114,13,60,8,2599,242,226,111,3934,0,11,1
275,2785,315,2,60,-2,2486,214,237,161,3829,0,22,1
276,2784,325,17,153,33,1798,177,220,182,3198,0,29,1
277,2789,320,15,182,50,1771,181,225,183,3174,0,29,1
278,2922,162,19,240,22,5076,235,241,129,4536,0,29,1
279,3008,135,3,931,36,5727,224,238,150,6096,0,28,1
280,2978,73,10,323,49,5160,232,221,121,6368,0,28,1
281,2892,54,11,134,12,3178,226,217,123,4457,0,11,1
282,2521,45,10,42,2,408,223,218,129,2066,0,19,1
283,2985,72,7,497,13,5372,228,227,133,6482,0,28,0
284,3057,39,19,626,144,4435,217,196,107,3955,0,28,0
285,2829,78,9,60,8,2941,232,223,123,4187,0,22,1
286,3201,331,5,0,0,4002,208,234,164,3460,0,19,0
287,3136,329,13,789,-13,4228,187,223,175,3798,0,28,0
288,2548,355,14,60,7,551,197,215,155,2058,0,19,1
289,2962,89,9,42,3,4891,234,225,122,6046,0,11,1
290,2808,15,13,201,20,2431,208,213,141,3651,0,11,1
291,2749,87,12,516,43,1499,238,220,111,2797,0,11,1
292,3155,328,14,849,-19,4184,185,222,177,3871,0,28,0
293,2991,285,11,849,98,5939,189,240,191,6068,0,19,1
294,2968,108,5,306,49,4113,229,234,138,5265,0,11,1
295,2932,77,13,108,21,3911,236,216,108,5067,0,29,1
296,2808,356,7,153,3,2592,209,227,157,3757,0,22,1
297,2794,106,4,210,37,1888,227,234,142,3079,0,11,0
298,3080,24,17,659,167,4377,208,201,125,4176,0,28,0
299,2936,52,16,180,27,4656,227,203,105,4456,0,22,0
300,2913,261,10,313,10,5706,197,245,187,5517,0,28,1
301,2919,232,8,323,19,5728,207,248,178,5539,0,28,1
302,2978,257,6,85,13,4795,205,244,177,5905,0,11,1
303,2574,312,14,134,32,636,183,229,187,1924,0,29,1
304,3142,59,21,730,-32,4155,231,192,85,4070,0,28,0
305,2804,15,10,212,47,1917,211,219,144,3031,0,11,0
306,2595,9,14,42,19,799,204,212,144,2010,0,29,1
307,2929,232,8,366,33,5835,208,247,177,5776,0,28,1
308,3001,246,9,764,101,5961,201,247,184,6227,0,28,1
309,2813,94,7,371,56,1800,231,230,132,2872,0,29,1
310,2988,342,6,192,26,4805,208,231,162,5836,0,11,1
311,3175,59,18,612,0,4042,231,200,96,4184,0,22,0
312,2861,0,6,134,10,2980,211,228,155,3972,0,29,1
313,2804,61,7,362,10,1838,226,225,133,2825,0,29,1
314,3001,78,10,335,29,5320,234,221,118,6310,0,11,0
315,2914,141,9,277,18,3471,234,238,135,4430,0,11,1
316,2668,41,17,283,68,1276,219,200,110,2240,0,29,1
317,3185,129,12,481,10,3899,240,233,121,4273,0,28,0
318,2913,216,9,268,20,5715,211,249,173,5983,0,15,0
319,3168,72,5,418,-6,3855,226,230,138,4394,0,22,0
320,2955,30,9,30,3,4478,218,220,137,5370,0,19,1
321,2932,100,7,30,-6,4280,232,231,131,5166,0,18,1
322,3234,0,11,658,26,3589,204,220,153,4109,0,22,0
323,3201,53,7,488,26,3667,224,225,135,4255,0,28,0
324,2903,236,5,212,10,5656,211,244,171,6046,0,15,0
325,2874,352,2,400,19,2869,216,236,157,3653,0,28,1
326,2903,254,6,212,3,5689,206,244,176,6195,0,15,0
327,2800,45,12,0,0,2244,223,214,124,2958,0,19,0
328,3257,336,9,693,52,3443,199,227,167,4246,0,22,0
329,3188,278,5,210,13,3634,206,241,173,4526,0,28,0
330,2952,62,8,192,30,4487,227,223,130,5251,0,28,1
331,2932,237,16,342,36,5797,189,252,198,6409,0,28,0
332,3050,281,4,630,85,5540,209,240,169,6162,0,11,1
333,2955,285,11,212,19,4302,188,240,192,5057,0,28,1
334,2791,41,17,458,-18,1740,220,201,111,2294,0,11,1
335,3172,162,3,180,7,3632,222,240,153,4624,0,28,0
336,3116,69,14,297,-6,3870,234,212,107,4802,0,28,0
337,2895,51,10,162,0,3326,225,219,127,4002,0,11,1
338,3182,122,6,134,7,3510,230,235,138,4585,0,28,0
339,3024,81,9,218,49,4152,233,224,123,5114,0,28,1
340,2962,251,9,480,66,5863,201,246,183,6356,0,28,1
341,2978,27,4,192,13,4780,218,230,149,5502,0,11,1
342,2952,40,12,323,0,4558,221,213,124,5268,0,11,1
343,2945,348,13,255,32,3768,194,217,161,4425,0,11,1
344,3149,188,7,134,17,3718,221,245,159,4831,0,28,0
345,2833,150,15,242,23,1953,238,238,126,2407,0,29,0
346,3136,185,10,42,4,3623,222,248,158,4858,0,28,0
347,2851,49,13,268,46,2538,225,211,118,3037,0,28,1
348,2933,111,8,300,20,3644,234,231,129,4221,0,11,1
349,2810,110,6,421,0,1871,230,234,138,2178,0,11,0
350,3267,85,10,484,62,3194,235,223,119,4518,0,39,0
351,3188,30,16,85,13,3340,213,203,121,4753,0,28,0
352,2955,37,5,426,42,3905,220,229,145,4475,0,11,1
353,3001,276,9,752,103,5893,197,242,184,6012,0,28,1
354,3008,281,10,780,110,5864,194,241,187,5998,0,28,1
355,2942,28,5,391,29,3707,218,230,148,4228,0,11,1
356,2921,331,9,395,8,3516,200,230,169,4024,0,11,1
357,2985,315,5,361,20,5023,206,235,169,5570,0,11,1
358,2978,289,14,570,42,4480,179,238,198,5007,0,11,1
359,2889,51,20,362,66,2689,225,193,94,3049,0,28,1
360,2814,103,3,210,4,2145,225,235,145,2316,0,11,1
361,2938,127,9,408,107,2896,236,234,128,3239,0,11,1
362,2828,95,11,127,15,2467,238,224,116,2714,0,28,1
363,3146,95,12,240,-28,3287,239,222,112,5052,0,29,0
364,2977,94,8,466,12,4283,232,229,129,4676,0,11,1
365,3034,45,2,680,46,5544,220,234,151,5490,0,11,1
366,3083,61,19,192,-9,3320,232,197,90,5380,0,29,0
367,3044,23,5,210,-25,3481,217,228,148,5476,0,19,0
368,2982,90,8,242,-35,3695,232,228,129,5609,0,19,0
369,2901,176,15,256,49,3181,226,247,149,3360,0,29,1
370,2995,66,6,247,13,4770,227,227,135,5126,0,28,1
371,2528,151,6,108,4,598,228,240,145,390,0,22,1
372,3188,112,8,60,3,2880,235,231,128,5166,0,28,0
373,2939,243,24,400,41,5619,164,250,217,5753,0,28,1
374,3008,215,11,696,112,5880,209,251,176,5600,0,28,1
375,3021,238,9,815,125,5855,204,248,181,5543,0,28,1
376,2937,80,11,330,15,4094,234,221,118,4354,0,11,1
377,2844,317,10,67,20,2758,194,231,178,2724,0,28,1
378,2781,13,3,351,25,2148,216,233,154,1707,0,28,1
379,2945,252,18,421,47,5615,176,249,209,5686,0,28,1
380,2857,143,12,85,8,3111,238,237,127,3161,0,29,1
381,3021,53,7,258,-12,3544,224,224,134,5720,0,28,0
382,2919,141,3,192,3,3992,225,238,149,6047,0,28,0
383,2800,185,9,170,22,2382,222,246,158,2001,0,11,1
384,2773,151,18,350,119,1680,240,237,119,983,0,29,4
385,2759,144,17,300,105,1590,242,234,115,895,0,29,4
386,2714,117,20,242,93,1470,250,217,85,779,0,29,4
387,2671,109,26,175,55,1350,253,200,58,664,0,29,4
388,2975,126,9,120,3,4763,235,234,130,4928,0,28,1
389,2775,148,19,335,101,1770,242,234,113,1061,0,29,4
390,2746,149,18,268,92,1620,240,236,119,912,0,29,4
391,2743,148,19,255,89,1590,242,235,114,883,0,29,4
392,2717,108,16,201,79,1500,246,220,98,794,0,29,4
393,2751,136,14,277,77,1680,241,234,119,967,0,29,4
394,2739,131,14,242,75,1620,242,232,116,908,0,29,4
395,2733,133,16,228,79,1590,244,231,111,878,0,29,4
396,2716,117,15,175,62,1500,245,225,105,789,0,29,4
397,2611,99,14,30,2,1200,243,220,103,495,0,29,4
398,3073,123,11,0,0,3060,239,231,121,5654,0,28,0
399,3060,167,18,95,16,3251,232,244,136,5755,0,28,1
400,2899,120,8,162,19,3944,234,234,132,4034,0,11,1
401,2861,107,8,30,0,3434,234,231,129,3406,0,22,1
402,2853,351,3,0,0,3342,214,234,158,3287,0,22,1
403,2785,202,8,134,18,2429,217,247,165,1860,0,11,1
404,2723,127,16,190,69,1560,245,228,108,845,0,29,4
405,2656,110,23,85,35,1350,252,208,72,636,0,29,4
406,3064,194,10,30,4,3111,218,249,164,5721,0,19,0
407,3050,167,16,67,6,3229,231,244,140,5783,0,28,1
408,3004,141,13,124,3,3500,239,236,124,5934,0,28,1
409,2952,58,10,201,16,3736,228,218,123,6078,0,28,1
410,3034,68,12,362,43,5550,232,216,114,5100,0,28,0
411,2703,130,20,127,49,1500,248,225,97,780,0,29,4
412,2685,128,23,95,31,1440,251,218,81,722,0,29,4
413,2661,119,25,67,23,1380,253,210,70,663,0,29,4
414,3057,101,4,0,0,3069,226,234,144,5740,0,19,0
415,3050,139,13,30,-3,3127,240,235,123,5770,0,19,0
416,3060,342,5,495,69,5700,209,232,161,5139,0,11,0
417,2945,49,14,0,0,4671,225,208,114,4737,0,22,0
418,2704,123,18,124,40,1530,247,224,99,797,0,29,4
419,2676,129,24,67,22,1440,251,217,79,713,0,29,4
420,2621,81,14,0,0,1290,238,214,103,571,0,29,4
421,3060,45,13,30,3,3046,223,211,120,5768,0,28,0
422,2975,136,15,124,7,3543,243,232,114,6039,0,28,1
423,3067,21,4,518,76,5739,217,231,151,5125,0,11,0
424,2719,128,16,150,45,1621,244,229,109,874,0,29,4
425,2638,86,15,0,0,1351,241,213,98,618,0,29,4
426,2700,115,19,67,26,1533,249,218,90,779,0,29,4
427,2673,108,22,42,9,1473,251,208,72,721,0,29,4
428,2654,71,11,0,0,1413,233,218,115,664,0,29,4
429,2664,50,12,0,0,1445,225,214,122,684,0,29,4
430,3050,80,8,360,59,5638,231,225,127,4978,0,28,0
431,2858,125,8,268,7,3288,233,235,134,3034,0,11,1
432,2854,163,9,285,5,3246,229,243,146,2974,0,11,1
433,3047,56,11,95,29,3182,227,218,123,5994,0,28,0
434,2873,351,6,201,11,3459,210,230,159,3242,0,11,1
435,2680,23,12,0,0,1511,213,214,136,730,0,28,4
436,2676,9,14,30,2,1481,204,212,144,700,0,28,4
437,2678,9,15,42,7,1421,202,209,142,641,0,28,4
438,2839,120,9,190,23,3055,236,233,128,2612,0,11,1
439,2792,86,7,228,4,2862,230,229,132,2282,0,11,1
440,3103,74,11,201,49,2870,233,219,116,5920,0,28,0
441,2995,6,14,201,13,5167,202,213,146,4670,0,28,1
442,2702,90,1,0,0,1727,221,236,151,932,0,19,1
443,2991,282,8,268,32,5024,198,241,182,4582,0,28,0
444,3004,31,6,180,13,5222,219,228,145,4624,0,28,1
445,2919,117,6,150,0,3903,231,234,136,6349,0,19,1
446,2945,258,14,376,45,5535,186,247,199,5134,0,28,1
